id,category,source_id,product_type,dim_x_m,dim_y_m,dim_z_m,faces,glb_size_mb,license,source
office_chair_B07B4N11TX,office_chair,B07B4N11TX,CHAIR,0.955,1.038,1.07,22480,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B0746H4BPM,office_chair,B0746H4BPM,CHAIR,0.793,0.952,0.91,16054,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07HSJSH2Q,office_chair,B07HSJSH2Q,CHAIR,0.503,0.933,0.597,7252,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B00IFHPVEU,office_chair,B00IFHPVEU,CHAIR,0.576,0.998,0.641,70621,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YNJQLB,office_chair,B075YNJQLB,CHAIR,0.491,0.849,0.583,21116,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B071W5VD5C,office_chair,B071W5VD5C,CHAIR,0.878,1.063,0.904,19446,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X4YDN6,office_chair,B075X4YDN6,CHAIR,0.729,0.869,0.874,14694,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B0746GYJJD,office_chair,B0746GYJJD,CHAIR,0.758,0.956,0.813,8310,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B4FZGW8,office_chair,B07B4FZGW8,CHAIR,0.955,0.997,1.07,17144,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07HJ66BLL,office_chair,B07HJ66BLL,CHAIR,0.696,1.293,0.651,59324,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBGHYG6,sofa,B07DBGHYG6,BENCH,0.987,0.589,0.346,5902,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBB7FN6,sofa,B07DBB7FN6,BENCH,0.987,0.646,0.369,6108,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4D89MZ,sofa,B07B4D89MZ,OTTOMAN,0.613,0.438,0.616,12552,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4GXYDG,sofa,B07B4GXYDG,OTTOMAN,0.922,0.948,0.882,25642,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4MH5Q1,sofa,B07B4MH5Q1,OTTOMAN,0.839,0.464,0.639,14208,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBDTCTY,sofa,B07DBDTCTY,BENCH,0.734,0.461,0.362,13096,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBDZ4SG,sofa,B07DBDZ4SG,BENCH,1.196,0.453,0.363,17778,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4MKCLM,sofa,B07B4MKCLM,OTTOMAN,1.726,0.46,0.735,21180,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4MGBJD,sofa,B07B4MGBJD,OTTOMAN,1.764,0.47,0.751,21180,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4M6BS1,sofa,B07B4M6BS1,SOFA,1.716,0.862,0.866,19812,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4L4PCX,sofa,B07B4L4PCX,SOFA,2.208,0.965,0.951,19496,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4GNCRT,sofa,B07B4GNCRT,SOFA,2.434,0.965,0.951,19496,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ6YWZY,sofa,B07HZ6YWZY,OTTOMAN,0.885,0.438,0.57,18500,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07J2VY53W,sofa,B07J2VY53W,OTTOMAN,0.902,0.395,0.901,27504,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4G5QDB,sofa,B07B4G5QDB,SOFA,2.218,0.874,0.859,17212,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B071PDYXKC,sofa,B071PDYXKC,OTTOMAN,0.655,0.399,0.648,5262,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBHFDSQ,sofa,B07DBHFDSQ,BENCH,0.973,0.561,0.345,2564,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073G856G3,sofa,B073G856G3,OTTOMAN,0.507,0.475,0.497,20894,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4FZWCN,sofa,B07B4FZWCN,OTTOMAN,2.561,0.928,1.294,46547,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4FZNM4,sofa,B07B4FZNM4,OTTOMAN,2.561,0.928,1.294,46526,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B072FVHS93,sofa,B072FVHS93,SOFA,1.776,0.836,0.97,7024,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B071FMSYZV,sofa,B071FMSYZV,OTTOMAN,1.25,0.434,0.817,13904,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ7TL95,sofa,B07HZ7TL95,SOFA,1.589,0.921,0.987,23216,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4N1RTQ,sofa,B07B4N1RTQ,SOFA,2.218,0.874,0.859,17212,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4MDDDJ,sofa,B07B4MDDDJ,SOFA,1.716,0.862,0.866,19812,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4G5QD4,sofa,B07B4G5QD4,SOFA,2.218,0.874,0.859,17212,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4D88HC,sofa,B07B4D88HC,OTTOMAN,2.587,1.562,1.351,35284,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B071W5VJ93,sofa,B071W5VJ93,OTTOMAN,0.835,0.497,0.581,9744,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4GSKS1,sofa,B07B4GSKS1,OTTOMAN,0.838,0.479,0.838,6096,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4MPVZG,sofa,B07B4MPVZG,SOFA,1.716,0.862,0.866,19812,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4G5ZL3,sofa,B07B4G5ZL3,OTTOMAN,0.808,0.612,0.871,12176,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073G7BV63,sofa,B073G7BV63,OTTOMAN,0.507,0.475,0.497,20894,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073GC43LG,sofa,B073GC43LG,OTTOMAN,0.507,0.475,0.497,20894,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4SC9RP,sofa,B07B4SC9RP,BENCH,1.488,0.488,0.479,14168,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ6HHD6,sofa,B07HZ6HHD6,SOFA,2.238,1.019,1.11,43466,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4GSNB1,sofa,B07B4GSNB1,OTTOMAN,0.818,0.485,0.634,6656,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B071FMSY5S,sofa,B071FMSY5S,SOFA,1.518,0.93,0.999,22524,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ6ZCW7,sofa,B07HZ6ZCW7,SOFA,2.238,1.019,1.11,43466,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073ZRS8TR,sofa,B073ZRS8TR,OTTOMAN,1.097,0.461,0.617,6644,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07DBB1T6Z,sofa,B07DBB1T6Z,BENCH,0.734,0.461,0.362,13096,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ7X963,sofa,B07HZ7X963,SOFA,2.344,0.926,0.987,28632,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07J2W23YZ,sofa,B07J2W23YZ,OTTOMAN,0.912,0.916,1.001,12484,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073ZRX6T8,sofa,B073ZRX6T8,OTTOMAN,1.097,0.448,0.617,6644,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073G6T3GM,sofa,B073G6T3GM,OTTOMAN,0.443,0.502,0.494,9552,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073GBFBWJ,sofa,B073GBFBWJ,OTTOMAN,0.454,0.505,0.492,10560,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4M2QSW,sofa,B07B4M2QSW,OTTOMAN,2.131,0.902,0.791,49461,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B075X4HZXK,sofa,B075X4HZXK,OTTOMAN,0.891,0.439,0.901,49376,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07HZ4XHMX,sofa,B07HZ4XHMX,SOFA,1.801,1.059,0.997,36480,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B07B4G46T9,sofa,B07B4G46T9,OTTOMAN,0.764,0.402,0.57,7488,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
sofa_B073G947XM,sofa,B073G947XM,BENCH,0.989,0.501,0.505,6744,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B79GMHH,stool,B07B79GMHH,STOOL_SEATING,0.457,0.737,0.476,9322,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7B3CVQ,stool,B07B7B3CVQ,STOOL_SEATING,0.457,0.737,0.476,9600,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7BRXCK,stool,B07B7BRXCK,STOOL_SEATING,0.457,0.737,0.476,9586,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7B94GH,stool,B07B7B94GH,STOOL_SEATING,0.457,0.737,0.476,9586,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B78M4DN,stool,B07B78M4DN,STOOL_SEATING,0.457,0.737,0.476,9322,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7B9FKC,stool,B07B7B9FKC,STOOL_SEATING,0.457,0.737,0.476,9322,0.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7BJKBN,stool,B07B7BJKBN,STOOL_SEATING,0.457,0.737,0.476,9594,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07GNCVKSG,stool,B07GNCVKSG,STOOL_SEATING,0.406,0.61,0.406,13992,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBDZ2PV,stool,B07DBDZ2PV,STOOL_SEATING,0.399,0.609,0.359,19210,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBB1GX5,stool,B07DBB1GX5,STOOL_SEATING,0.359,0.609,0.399,19371,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07HSB4WV6,stool,B07HSB4WV6,STOOL_SEATING,0.462,1.084,0.546,6536,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075Z6YRVN,stool,B075Z6YRVN,STOOL_SEATING,0.514,1.082,0.561,25076,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6KPT9P,stool,B07L6KPT9P,STOOL_SEATING,0.406,0.742,0.322,14348,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6BMW6Q,stool,B07L6BMW6Q,STOOL_SEATING,0.406,0.61,0.322,14348,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07HSK7Z85,stool,B07HSK7Z85,STOOL_SEATING,0.464,1.061,0.573,16840,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBD9VY1,stool,B07DBD9VY1,STOOL_SEATING,0.41,0.608,0.41,16622,1.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B072Y2MRY2,stool,B072Y2MRY2,STOOL_SEATING,0.673,0.576,0.638,27488,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBD3G32,stool,B07DBD3G32,STOOL_SEATING,0.41,0.608,0.41,16544,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6C51SC,stool,B07L6C51SC,STOOL_SEATING,0.406,0.742,0.322,14348,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6KM74G,stool,B07L6KM74G,STOOL_SEATING,0.406,0.61,0.322,14348,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6MD26Y,stool,B07L6MD26Y,STOOL_SEATING,0.406,0.742,0.322,14348,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07L6LL293,stool,B07L6LL293,STOOL_SEATING,0.406,0.61,0.322,14348,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075YMY1PD,stool,B075YMY1PD,STOOL_SEATING,0.548,1.012,0.558,13086,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DB8XFGM,stool,B07DB8XFGM,STOOL_SEATING,0.455,0.609,0.423,18294,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBDT68B,stool,B07DBDT68B,STOOL_SEATING,0.398,0.609,0.358,18834,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B8F76PH,stool,B07B8F76PH,STOOL_SEATING,0.457,0.538,0.423,9436,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBF5JCC,stool,B07DBF5JCC,STOOL_SEATING,0.359,0.609,0.399,19371,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B8F6V9M,stool,B07B8F6V9M,STOOL_SEATING,0.457,0.593,0.421,10300,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B8445B5,stool,B07B8445B5,STOOL_SEATING,0.438,0.595,0.472,10300,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B8JBR7N,stool,B07B8JBR7N,STOOL_SEATING,0.457,0.595,0.43,10300,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBGJ4CS,stool,B07DBGJ4CS,STOOL_SEATING,0.436,1.023,0.475,22812,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBG26SH,stool,B07DBG26SH,STOOL_SEATING,0.436,1.042,0.475,22812,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B7B94NC,stool,B07B7B94NC,STOOL_SEATING,0.457,0.737,0.476,4368,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075YPTF1L,stool,B075YPTF1L,STOOL_SEATING,0.48,0.679,0.401,21616,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075Z9QBLL,stool,B075Z9QBLL,STOOL_SEATING,0.509,0.969,0.44,19912,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBF1BC9,stool,B07DBF1BC9,STOOL_SEATING,0.504,0.742,0.372,22292,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07HSJY1JM,stool,B07HSJY1JM,STOOL_SEATING,0.463,0.946,0.562,17734,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075ZCLPHP,stool,B075ZCLPHP,STOOL_SEATING,0.409,0.508,0.409,31890,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B78RCTK,stool,B07B78RCTK,STOOL_SEATING,0.486,0.625,0.405,9848,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07HSBJ5CH,stool,B07HSBJ5CH,STOOL_SEATING,0.463,1.065,0.562,17878,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBGJ4X4,stool,B07DBGJ4X4,STOOL_SEATING,0.504,0.654,0.372,22068,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBDT6ZS,stool,B07DBDT6ZS,STOOL_SEATING,0.504,0.742,0.372,22068,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBFXZQT,stool,B07DBFXZQT,STOOL_SEATING,0.462,1.079,0.539,26464,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBDWX9T,stool,B07DBDWX9T,STOOL_SEATING,0.462,1.079,0.539,26464,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBF3X2P,stool,B07DBF3X2P,STOOL_SEATING,0.504,0.742,0.372,22068,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07B86VTVM,stool,B07B86VTVM,STOOL_SEATING,0.457,0.519,0.458,17152,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBFSLFV,stool,B07DBFSLFV,STOOL_SEATING,0.504,0.657,0.372,22068,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075YQXRBS,stool,B075YQXRBS,STOOL_SEATING,0.489,0.866,0.524,8852,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B075YQXRD4,stool,B075YQXRD4,STOOL_SEATING,0.489,0.937,0.524,9226,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
stool_B07DBGHZH5,stool,B07DBGHZH5,STOOL_SEATING,0.399,1.096,0.513,17607,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H8V49GP,table,B07H8V49GP,TABLE,0.47,0.351,0.408,1316,0.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07GFWF2CX,table,B07GFWF2CX,TABLE,0.441,0.46,0.325,164,0.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H8JN9KN,table,B07H8JN9KN,TABLE,0.517,0.357,0.399,444,0.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBGHSN7,table,B07DBGHSN7,TABLE,0.502,0.438,0.451,7040,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07QPZK6MJ,table,B07QPZK6MJ,TABLE,0.45,0.59,0.35,5744,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B075X3WD5T,table,B075X3WD5T,TABLE,0.564,0.584,0.441,3272,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDZC9N,table,B07DBDZC9N,TABLE,0.435,0.681,0.351,6762,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07B7J5XSQ,table,B07B7J5XSQ,TABLE,0.403,0.548,0.415,8780,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDPMWN,table,B07DBDPMWN,TABLE,0.435,0.68,0.348,6722,0.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B079VNL3GM,table,B079VNL3GM,TABLE,0.4,0.47,0.36,11740,0.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07GFG117Y,table,B07GFG117Y,TABLE,0.441,0.46,0.325,164,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBHF15B,table,B07DBHF15B,TABLE,0.513,0.653,0.513,11416,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B072ZRPFNM,table,B072ZRPFNM,TABLE,1.57,0.834,0.425,2484,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07H8SSJTX,table,B07H8SSJTX,TABLE,1.35,0.47,0.7,972,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBFG16Z,table,B07DBFG16Z,TABLE,0.91,0.457,0.91,18112,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B075Z8FV7N,table,B075Z8FV7N,TABLE,0.557,0.437,0.557,4224,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBFT2YG,table,B07DBFT2YG,TABLE,1.109,0.506,0.551,14292,0.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBDPMRS,table,B07DBDPMRS,TABLE,1.197,0.808,0.384,19002,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07HSMYNYF,table,B07HSMYNYF,TABLE,1.619,0.531,0.918,3232,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBG4PPP,table,B07DBG4PPP,TABLE,1.191,0.819,0.386,19480,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
table_B07DBGJ5PM,table,B07DBGJ5PM,TABLE,1.191,0.814,0.386,19480,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
